OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,14:31:09,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:05,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:05,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:05,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:06,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:06,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:06,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:07,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:07,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:07,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:10,6.Directions/Materials,LogTimeOutNote,
2,00:00:20,00:00:30,6.Directions/Materials,LogTimeOutNote,
3,00:00:40,00:00:50,6.Directions/Materials,LogTimeOutNote,
4,00:01:00,00:01:10,6.Directions/Materials,LogTimeOutNote,
5,00:01:20,00:01:30,6.Directions/Materials,LogTimeOutNote,
6,00:01:40,00:01:50,6.Directions/Materials,LogTimeOutNote,
7,00:02:00,00:02:10,6.Directions/Materials,LogTimeOutNote,
8,00:02:20,00:02:30,6.Directions/Materials,LogTimeOutNote,
9,00:02:40,00:02:50,6.Directions/Materials,LogTimeOutNote,
10,00:03:00,00:03:10,6.Directions/Materials,LogTimeOutNote,
11,00:03:20,00:03:30,6.Directions/Materials,LogTimeOutNote,
12,00:03:40,00:03:50,6.Directions/Materials,LogTimeOutNote,
13,00:04:00,00:04:10,6.Directions/Materials,LogTimeOutNote,
14,00:04:20,00:04:30,6.Directions/Materials,LogTimeOutNote,
15,00:04:40,00:04:50,6.Directions/Materials,LogTimeOutNote,
16,00:05:00,00:05:10,6.Directions/Materials,LogTimeOutNote,
17,00:05:21,00:05:31,6.Directions/Materials,LogTimeOutNote,
18,00:05:41,00:05:51,6.Directions/Materials,LogTimeOutNote,
19,00:06:01,00:06:11,6.Directions/Materials,LogTimeOutNote,
20,00:06:21,00:06:31,6.Directions/Materials,LogTimeOutNote,
21,00:06:41,00:06:51,6.Directions/Materials,LogTimeOutNote,
