OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,14:39:24,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:10,5.Group Discussion/Q&A/Share Results,LogTimeOutNote,
