OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,16:37:15,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,1.Classroom Management,STOMPER1,Observing
1,00:00:00,00:00:01,1.Classroom Management,STOMPER1,HandingOutMaterial
1,00:00:00,00:00:02,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,4.Hands-on Activity,STOMPER1,AsweringQuestion
1,00:00:00,00:00:03,4.Hands-on Activity,STOMPER1,TalkingToClass
1,00:00:00,00:00:04,4.Hands-on Activity,STOMPER1,Observing
1,00:00:00,00:00:04,4.Hands-on Activity,STOMPER1,Observing
1,00:00:00,00:00:04,4.Hands-on Activity,STOMPER1,Observing
1,00:00:00,00:00:04,4.Hands-on Activity,STOMPER1,AsweringQuestion
1,00:00:00,00:00:05,4.Hands-on Activity,STOMPER1,HandingOutMaterial
