OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,16:19:51,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:10,1.Classroom Management,LogTimeOutNote,
2,00:00:20,00:00:30,1.Classroom Management,LogTimeOutNote,
3,00:00:40,00:00:50,1.Classroom Management,LogTimeOutNote,
4,00:01:00,00:01:10,1.Classroom Management,LogTimeOutNote,
5,00:01:20,00:01:30,1.Classroom Management,LogTimeOutNote,
6,00:01:40,00:01:50,1.Classroom Management,LogTimeOutNote,
7,00:02:00,00:02:10,1.Classroom Management,LogTimeOutNote,
8,00:02:20,00:02:30,1.Classroom Management,LogTimeOutNote,
9,00:02:40,00:02:50,1.Classroom Management,LogTimeOutNote,
10,00:03:00,00:03:10,1.Classroom Management,LogTimeOutNote,
11,00:03:20,00:03:30,1.Classroom Management,LogTimeOutNote,
12,00:03:40,00:03:50,1.Classroom Management,LogTimeOutNote,
13,00:04:00,00:04:10,1.Classroom Management,LogTimeOutNote,
14,00:04:20,00:04:30,1.Classroom Management,LogTimeOutNote,
15,00:04:40,00:04:50,1.Classroom Management,LogTimeOutNote,
16,00:05:00,00:05:10,1.Classroom Management,LogTimeOutNote,
17,00:05:20,00:05:31,1.Classroom Management,LogTimeOutNote,
18,00:05:41,00:05:51,1.Classroom Management,LogTimeOutNote,
19,00:06:01,00:06:11,1.Classroom Management,LogTimeOutNote,
20,00:06:21,00:06:31,1.Classroom Management,LogTimeOutNote,
21,00:06:41,00:06:51,1.Classroom Management,LogTimeOutNote,
22,00:07:01,00:07:11,1.Classroom Management,LogTimeOutNote,
23,00:07:21,00:07:31,1.Classroom Management,LogTimeOutNote,
24,00:07:41,00:07:51,1.Classroom Management,LogTimeOutNote,
25,00:08:01,00:08:11,1.Classroom Management,LogTimeOutNote,
26,00:08:21,00:08:31,1.Classroom Management,LogTimeOutNote,
27,00:08:41,00:08:51,1.Classroom Management,LogTimeOutNote,
28,00:09:01,00:09:11,1.Classroom Management,LogTimeOutNote,
29,00:09:21,00:09:31,1.Classroom Management,LogTimeOutNote,
30,00:09:41,00:09:51,1.Classroom Management,LogTimeOutNote,
31,00:10:01,00:10:11,1.Classroom Management,LogTimeOutNote,
32,00:10:21,00:10:31,1.Classroom Management,LogTimeOutNote,
33,00:10:41,00:10:51,1.Classroom Management,LogTimeOutNote,
34,00:11:02,00:11:12,1.Classroom Management,LogTimeOutNote,
35,00:11:22,00:11:32,1.Classroom Management,LogTimeOutNote,
36,00:11:42,00:11:52,1.Classroom Management,LogTimeOutNote,
37,00:12:02,00:12:12,1.Classroom Management,LogTimeOutNote,
38,00:12:22,00:12:32,1.Classroom Management,LogTimeOutNote,
39,00:12:42,00:12:52,1.Classroom Management,LogTimeOutNote,
40,00:13:02,00:13:12,1.Classroom Management,LogTimeOutNote,
41,00:13:22,00:13:32,1.Classroom Management,LogTimeOutNote,
42,00:13:42,00:13:52,1.Classroom Management,LogTimeOutNote,
43,00:14:02,00:14:12,1.Classroom Management,LogTimeOutNote,
44,00:14:22,00:14:32,1.Classroom Management,LogTimeOutNote,
45,00:14:42,00:14:52,1.Classroom Management,LogTimeOutNote,
46,00:15:02,00:15:12,1.Classroom Management,LogTimeOutNote,
47,00:15:22,00:15:32,1.Classroom Management,LogTimeOutNote,
48,00:15:42,00:15:52,1.Classroom Management,LogTimeOutNote,
49,00:16:02,00:16:12,1.Classroom Management,LogTimeOutNote,
50,00:16:22,00:16:33,1.Classroom Management,LogTimeOutNote,
51,00:16:43,00:16:53,1.Classroom Management,LogTimeOutNote,
52,00:17:03,00:17:13,1.Classroom Management,LogTimeOutNote,
