OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,14:24:47,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:10,6.Directions/Materials,LogTimeOutNote,
2,00:00:20,00:00:30,6.Directions/Materials,LogTimeOutNote,
3,00:00:40,00:00:50,6.Directions/Materials,LogTimeOutNote,
4,00:01:00,00:01:10,6.Directions/Materials,LogTimeOutNote,
