OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,16:18:59,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:04,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:05,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:10,1.Classroom Management,LogTimeOutNote,
2,00:00:20,00:00:30,1.Classroom Management,LogTimeOutNote,
